"","siteID","all.site.glob.avg","all.site.glob.sd","all.site.glob.ste","phys.site.glob.avg","phys.site.glob.sd","phys.site.glob.ste","chem.site.glob.avg","chem.site.glob.sd","chem.site.glob.ste","all.site.loc.avg","all.site.loc.sd","all.site.loc.ste","phys.site.loc.avg","phys.site.loc.sd","phys.site.loc.ste","chem.site.loc.avg","chem.site.loc.sd","chem.site.loc.ste","AI.avg","type","n"
"11","DSNY",0.283898855119356,0.153097334206819,0.00900572554157756,0.321311889730871,0.18443220870519,0.0108489534532465,0.179376061125391,0.152239386712344,0.00895525804190257,0.616961998759365,0.176546463267998,0.0103850860745881,0.424143357248256,0.213239308589751,0.0125434887405736,0.564326978040923,0.187507883474483,0.011029875498499,0.695,"humid",17
"12","GRSM",0.31367415131169,0.142642421448346,0.0101887443891675,0.300439928987069,0.145238665871318,0.0103741904193799,0.259961240773346,0.141875512533508,0.0101339651809649,0.595487307920937,0.14903160062525,0.010645114330375,0.48932453378464,0.198256202477434,0.0141611573198167,0.653892414020777,0.158648098900467,0.0113320070643191,1.20315384615385,"humid",14
"13","GUAN",0.477881271216566,0.209886255778017,0.0110466450409482,0.458788219530447,0.217925141197149,0.0114697442735341,0.41500140439391,0.219995172518212,0.0115786932904322,0.574370596738521,0.26112506866712,0.0137434246666905,0.545802981592046,0.24424035149074,0.0128547553416179,0.532269285661998,0.242373015150275,0.0127564744815934,0.502166666666667,"dry subhumid",19
"14","HARV",0.244984989518711,0.155256984360569,0.00817142022950364,0.227863511872605,0.14112358757757,0.00742755724092473,0.203909323825617,0.167114864749468,0.00879551919734041,0.262850147145085,0.226585537128452,0.011925554585708,0.420397503697153,0.182751462867129,0.00961849804563839,0.214277259148734,0.2510845610933,0.0132149768996474,1.09666666666667,"humid",19
"15","HEAL",0.367035326859169,0.114489697433864,0.00715560608961649,0.245018502707057,0.145175897265796,0.00907349357911223,0.32983607556868,0.112389579306771,0.00702434870667321,0.482706886159245,0.150392342720119,0.00939952142000743,0.52263477903522,0.172154801923754,0.0107596751202346,0.470170737159993,0.163520045651532,0.0102200028532208,0.702266666666667,"humid",16
"16","JERC",0.241499486008879,0.149049498523691,0.00621039577182047,0.263091883155385,0.166759519022365,0.00694831329259856,0.161175671762249,0.154596262449283,0.00644151093538677,0.381355525899744,0.154460650427309,0.00643586043447123,0.334850473571396,0.191908670035979,0.00799619458483247,0.394776452895799,0.158933750739678,0.00662223961415326,0.830652173913043,"humid",24
"17","JORN",0.32862683058481,0.154020317295208,0.00906001866442401,0.329662340569653,0.172726958287181,0.0101604093110106,0.24691168969129,0.15416411622663,0.00906847742509585,0.598870080664327,0.165304944253413,0.00972382025020076,0.573171981167082,0.166217698341393,0.00977751166714074,0.571641645887675,0.171553172337678,0.010091363078687,0.1155,"arid",17
"18","KONA",0.260685545836391,0.137668066416435,0.00688340332082175,0.29551460596283,0.165223469863194,0.00826117349315972,0.165417013251976,0.148470467719571,0.00742352338597854,0.537619196855627,0.18915089172362,0.00945754458618098,0.4558183394836,0.186612286070657,0.00933061430353287,0.461175147835003,0.190989124698708,0.0095494562349354,0.581157894736842,"dry subhumid",20
"19","KONZ",0.327409498222655,0.14909010919226,0.0106492935137328,0.369305648820994,0.165463237425089,0.0118188026732206,0.221291994168632,0.152730909978104,0.0109093507127217,0.661788038148996,0.177915535981125,0.0127082525700804,0.524617429382843,0.193324487705842,0.0138088919789887,0.638164529613832,0.193926160891605,0.0138518686351146,0.588846153846154,"dry subhumid",14
"20","LAJA",0.307377607808253,0.149856819385863,0.00749284096929317,0.318128345065937,0.160805023482965,0.00804025117414823,0.224462869254619,0.155986908234579,0.00779934541172895,0.457904066023445,0.201711024782083,0.0100855512391042,0.448116141753265,0.190967364041842,0.00954836820209211,0.37020778941291,0.21995264431944,0.010997632215972,0.552315789473684,"dry subhumid",20
"21","LENO",0.25065929982747,0.132794339179495,0.00698917574628919,0.277824942991231,0.153396038481931,0.00807347570957533,0.166263999774938,0.144763783463014,0.00761914649805337,0.48367470977841,0.182606547839426,0.00961087093891714,0.448251059290959,0.213697678185525,0.0112472462202908,0.458947942040754,0.186379029285141,0.00980942259395477,0.986555555555556,"humid",19
"22","MLBS",0.329909561559438,0.135601523929758,0.0123274112663416,0.344846566231707,0.134590467788361,0.0122354970716692,0.263926558255327,0.142259623456682,0.0129326930415166,0.635573925220827,0.160367000556552,0.0145788182324138,0.645128402433734,0.167014103155905,0.0151831002869005,0.611303592356777,0.17548148739045,0.0159528624900409,0.9557,"humid",11
"23","MOAB",0.328897857825168,0.166258406146725,0.0138548671788938,0.314791121609564,0.174787448562483,0.0145656207135403,0.262238449511427,0.168760084508617,0.0140633403757181,0.554430231433548,0.274242735157202,0.0228535612631001,0.447775381892865,0.270463200908077,0.0225386000756731,0.582387771473387,0.268227728197399,0.0223523106831166,0.177727272727273,"arid",12
"24","NIWO",0.287590343172944,0.143132511613877,0.0102237508295627,0.322105630620237,0.149362249154794,0.0106687320824853,0.202731353375247,0.146871379621395,0.0104908128300997,0.548482842018848,0.154224436253565,0.0110160311609689,0.436951928609847,0.167097169268663,0.0119355120906188,0.606289090365501,0.16911010057697,0.012079292898355,0.516769230769231,"dry subhumid",14
"25","NOGP",0.247071464071426,0.134904499553102,0.00710023681858432,0.254278234387431,0.150723832601683,0.00793283329482544,0.179071743552113,0.145837155835933,0.00767563978083857,0.434782345599507,0.18540698713822,0.00975826248095894,0.330165839894354,0.215312118113735,0.0113322167428281,0.504418502874596,0.169410337209085,0.00891633353732027,0.345611111111111,"semi-arid",19
"26","OAES",0.49316323548145,0.178835520430368,0.011177220026898,0.51306464911404,0.18208215529855,0.0113801347061593,0.406215054866959,0.201233742336034,0.0125771088960021,0.545451154752735,0.199785564439293,0.0124865977774558,0.539097006141232,0.208429672585969,0.013026854536623,0.53279057941774,0.20130918181604,0.0125818238635025,0.3602,"semi-arid",16
"27","ONAQ",0.348823638647712,0.192216641568401,0.0160180534640334,0.334195049607803,0.198572855016207,0.0165477379180172,0.295610116712307,0.200839336827548,0.0167366114022957,0.668505404917191,0.213232754369451,0.0177693961974542,0.620483044170928,0.210018684686377,0.0175015570571981,0.638242486838172,0.225680350092277,0.0188066958410231,0.186,"arid",12
"28","ORNL",0.362453689529299,0.180641793346226,0.00860199015934409,0.389587630406018,0.172345251224668,0.00820691672498419,0.27349564561326,0.19545985241376,0.00930761201970287,0.544551475022605,0.186214248327074,0.00886734515843208,0.542601906956444,0.21537047866204,0.0102557370791448,0.55041393912724,0.205235342914101,0.00977311156733813,0.94645,"humid",21
"29","OSBS",0.320629186067826,0.158277477049269,0.00659489487705286,0.31579506877369,0.186538540245703,0.0077724391769043,0.231963095283762,0.174414713032766,0.0072672797096986,0.401597535733523,0.212079192461672,0.00883663301923633,0.301455557129862,0.201785451510958,0.00840772714628994,0.35895512525062,0.251590241160284,0.0104829267150118,0.789565217391304,"humid",24
